2.42	2.75	1.50	1.50	2.15
2.86	1.50	2.50	1.50	2.21
2.49	4.50	3.00	1.50	3.15
1.08	2.50	1.50	1.50	1.67
0.00	1.75	0.00	0.00	0.53
2.12	4.50	1.50	1.50	2.59
1.43	3.25	5.00	5.00	3.41
0.00	2.25	1.50	1.50	1.28
2.12	1.50	2.50	1.50	1.99
3.07	3.75	1.50	4.50	2.95
2.86	3.50	3.00	5.00	3.31
2.49	1.50	2.50	3.00	2.25
1.86	3.25	3.00	3.00	2.73
2.52	3.00	2.50	3.00	2.71
0.00	2.25	1.50	0.50	1.18
1.88	1.75	2.50	3.00	2.14
0.00	1.50	5.00	5.00	2.45
1.71	3.50	3.00	1.50	2.61
3.46	4.00	1.50	1.50	2.84
2.60	3.22	3.04	2.78	2.94
